id,src,startTime,answer,answerKeyword
1,2GRP1rkE4O0,13,빅뱅,
2,I3dezFzsNss,0,엑소,EXO
3,N8VRaGe3Cqs,77,샤이니,
4,ZAzWT8mRoR0,80,비스트,
5,Le0CwBy4SaQ,57,빅스,VIXX vixx
6,gdZLi9oWNZg,23,방탄소년단,방탄 BTS bts
7,sv53BwhUTC0,60,비원에이포,B1A4 b1a4
8,0IpbvXVbBYA,57,엔시티,NCT NCT48 nct nct48
9,k2bjShbdb4U,80,엔플라잉,
10,anlOHlMn41g,57,씨엔블루,
11,_5PELxP8Udg,58,세븐틴,
12,jT1zdCZnEww,59,아스트로,
13,EVaV7AwqBWg,58,워너원,
14,xT4LzAWcmds,60,틴탑,
15,Bsiv1mo0HTQ,60,엠블랙,
16,cUgReo37ECw,75,투피엠,2pm 2PM
17,hOREkPq1aVQ,56,투에이엠,2am 2AM
18,kRj4toENrnA,50,위너,WINNER winner
19,vecSVX1QYbQ,1,아이콘,iKON
20,yEw1WGEq5D4,40,제국의아이들,제아
21,r6TwzSGYycM,144,슈퍼주니어,슈주
22,wgmSImDoJNg,53,인피니트,
23,eISomx-VMow,71,갓세븐,
24,o0WCva5Stk4,0,블락비,
25,3q22SInyiX8,8,비투비,BTOB
26,wgzcssEPtX4,60,지오디,GOD god
27,gyXy0m-4bvE,42,뉴이스트,
28,xKw0rm5vZnA,90,신화,
29,4v4PFanJj_U,15,젝스키스,젝키
30,0j2yMFtlPio,130,엠아이비,MIB
31,dWVd84BpaUk,36,동방신기,
32,xmN6RpmIJfw,10,유키스,
33,kIckv3cC58Q,59,크래비티,
34,1kcwvcbO8MI,64,하이라이트,
35,nQ6wLuYvGd4,55,엔하이픈,
36,PMLPefdwM00,78,빅톤,
37,gyXy0m-4bvE,58,뉴이스트,
38,UjkNOC9h3_g,60,골든차일드,골차
39,LlQEKB2H7z4,72,엑스원,
40,c_e-IC0VwZM,60,더보이즈,
41,W7ZIz4w9Edo,61,펜타곤,
42,p2JzPlpA1Iw,40,몬스터엑스,몬엑
