id,src,startTime,answer,answerKeyword
1,GdxvD7r58ng,0,아이오아이,IOI
2,XQSse3b2ge4,145,여자친구,
3,nnVjsos40qk,110,아이즈원,IZ*ONE IZONE
4,HPQ5mqovXHo,151,(여자)아이들,여자아이들 아이들
5,rRzxEiBLQCA,121,트와이스,twice
6,iDjQSdN_ig8,0,오마이걸,
7,W761DtH1oRg,0,드림캐쳐,
8,uR8Mrt1IpXg,45,레드벨벳,레벨
9,jeI992mvlEY,107,에버글로우,
10,6SwiSpudKWI,131,소녀시대,
11,ioNng23DkIM,146,블랙핑크,블핑
12,F4oHuML9U2A,96,에이핑크,에핑
13,MEmHy9OIzLA,20,공원소녀,GWSN
14,9QTZCB2Ujr8,50,구구단,
15,1nvnQcr3CqY,47,프로미스나인,
16,8Vto_qUIjcA,90,이달의소녀,이달
17,txWmd7QKFe8,72,모모랜드,
18,YzHTdhbhhao,0,위키미키,
19,lsK1b8vt0_c,62,에이프릴,
20,zSyThA4WEn4,62,로켓펀치,
21,hfXZ6ydgZyo,103,이엑스아이디,EXID
22,4h1SixKJSKs,73,써니힐,
23,j7TYiyEhxdI,73,카라,
24,zO9RzrhYR-I,81,미쓰에이,missa
25,0meMvE_7i1s,78,나인뮤지스,
26,mSau9Fz5KWY,44,레인보우,
27,m3ydJMw5loU,19,브라운아이드걸즈,브아걸
28,PYGODWJgR-c,46,원더걸스,
29,Gdmq0L6NDIs,60,에프터스쿨,
30,jxxoq7uqnbU,66,오렌지캬라멜,오렌지카라멜
31,NGe0hHvAGkc,76,투애니원,2ne1
32,aYVIvd68Ka0,18,포미닛,
33,9txzvu6eQuw,8,시스타,씨스타
34,0FB2EoKTK_Q,79,마마무,
35,4CTGxKIzD7M,58,프리스틴브이,프리스틴 프리스틴V
36,IRUNTOqCmAM,67,네이처,
37,EEEIN-mtN6c,80,걸스데이,
38,3BpnB47Fxts,109,피에스타,
39,xD6VjvfcBIs,50,레이디스코드,
40,pNfTK39k55U,23,있지,ITZY
41,RGnLdUJbYmQ,77,우주소녀쪼꼬미,우주소녀 쪼꼬미
