src,startTime,answer,answer keyword
GdxvD7r58ng,0,아이오아이,IOI
XQSse3b2ge4,145,여자친구,
nnVjsos40qk,110,아이즈원,IZ*ONE IZONE
HPQ5mqovXHo,151,(여자)아이들,여자아이들 아이들
rRzxEiBLQCA,121,트와이스,twice
4JJFrjkRxmo,0,오마이걸,
W761DtH1oRg,0,드림캐쳐,
uR8Mrt1IpXg,45,레드벨벳,레벨
jeI992mvlEY,107,에버글로우,
6SwiSpudKWI,131,소녀시대,
ioNng23DkIM,146,블랙핑크,블핑
F4oHuML9U2A,96,에이핑크,에핑
MEmHy9OIzLA,20,공원소녀,GWSN
9QTZCB2Ujr8,50,구구단,
1nvnQcr3CqY,47,프로미스나인,
8Vto_qUIjcA,90,이달의소녀,이달
txWmd7QKFe8,72,모모랜드,
XjYCYEerg1Q,0,위키미키,
lsK1b8vt0_c,62,에이프릴,
zSyThA4WEn4,62,로켓펀치,
hfXZ6ydgZyo,103,이엑스아이디,EXID
4h1SixKJSKs,73,써니힐,
j7TYiyEhxdI,73,카라,
zO9RzrhYR-I,81,미쓰에이,missa
0meMvE_7i1s,78,나인뮤지스,
mSau9Fz5KWY,44,레인보우,
m3ydJMw5loU,19,브라운아이드걸즈,브아걸
PYGODWJgR-c,46,원더걸스,
Gdmq0L6NDIs,60,에프터스쿨,
jxxoq7uqnbU,66,오렌지캬라멜,오렌지카라멜
NGe0hHvAGkc,76,투애니원,2ne1
aNYImwBU4f4,21,포미닛,
9txzvu6eQuw,8,시스타,씨스타
0FB2EoKTK_Q,79,마마무,
4CTGxKIzD7M,58,프리스틴브이,"프리스틴, 프리스틴V"
QRN12TaTFlU,70,네이처,
EEEIN-mtN6c,80,걸스데이,
3BpnB47Fxts,109,피에스타,
xD6VjvfcBIs,50,레이디스코드,
pNfTK39k55U,23,있지,ITZY
