id,src,startTime,answer,answerKeyword
1,OXGfpNri_G8,0,ウマ娘,うまむすめ
2,gEgL-3gfexo,19,ニーアオートマタ,ニーア
3,KLbFctG3tw0,1,ロックマン,
4,RJ3yIZ3_cxk,1,ロックマン,
5,hISuRO6s3P0,0,龍が如く,
6,HorqD4j8QDg,0,ウマ娘,うまむすめ
7,4oq9utTsAMg,0,13騎兵防衛圏,１３騎兵 13騎兵
8,IeKoaR58wcA,60,Fate/Grand Order,FGO
9,JeitvjG-dgI,0,ダンガンロンパ,
10,8vsezgP8rjs,26,文明,
11,Xq0joZ24D9Y,1,Apex Legends,Apex
12,faavQRuFLwI,128,スカイリム,skyrim
13,LZSVFtmN1es,0,アンダーテール,undertale
14,WWWPOmb_tw8,0,ポケットモンスター,pokemon
15,atPae-RrDdg,0,スーパーマリオ,マリオ
16,NGnUbUMD4N0,0,テトリス,tetris
17,mD4GbGmvNRc,0,starcraft,スタークラフト
18,AOQ83vSmO7I,0,アイドルマスター,アイマス
19,36uP4miWs1Q,0,プリンセスコネクト,プリコネ
20,ygZOCIZ2iXc,0,ファイナルファンタジー,FF
21,pBQIbiHeHhY,7,ドラゴンクエスト,ドラクエ
22,XcRCatv8PDM,0,どうぶつの森,
23,ko1FBOvtbLs,0,ポータル,portal
24,XzO4Y6ZZStc,0,splatoon,スプラトゥーン
25,5W_bFLwB0WY,0,ゼルダの伝説,ゼルダ
26,uWd4OwUg--Y,0,モンスターハンター,モンハン
27,EIu1kOg2YfE,0,ペルソナ,
28,BnZd1cuTw3g,0,dark souls,ダークソウル
29,-8RciEs-ze8,0,ブルーアーカイブ,ブルアカ
30,r4-3yHXJA0Q,0,PUBG,pubg
31,eVkOZYPorrE,20,東方,東方プロジェクト
32,ImZKxMlOIbM,0,モンスターストライク,モンスト
33,_L9eWmZVACI,0,ハースストーン,hearthstone
34,dbB5PpcRHl4,0,initiald,initialD イニシャルd 
35,aPHt5e50E0s,0,ライザのアトリエ,アトリエ
36,DayyK6Aq9VQ,0,grandblue fantasy,グランブルーファンタジー グランブルー
37,OMhueZUuOAs,0,ライデン,
38,KjsBFQDFlFE,0,ゴッドイーター,
39,G-i8HYi1QH0,0,ソニック,
40,sP2bZn59YSU,0,アラド戦記,
