id,src,startTime,answer,answerKeyword
1,U9d9hwU2RIc,0,디지몬어드벤처,디지몬어드벤쳐 디지몬
2,e6zp5Qob9ko,0,카드캡터체리,카드캡터사쿠라
3,Mlyd0YqdC3k,3,포켓몬스터AG,포켓몬스터 포켓몬
4,GM3eisuIEEA,0,유희왕듀얼몬스터즈,유희왕
5,wXeMcgT9xZo,0,파워디지몬,디지몬
6,y8-Cay9JMcE,0,행복한세상의족제비,
7,2_3WI9BCrOc,0,달빛천사,
8,junvn7qKikc,4,원피스,
9,Iz_lJA2iH7s,1,쾌걸근육맨,근육맨
10,HIi8_yp9Kno,0,검정고무신,
11,t8bRez2h9Ho,30,정글은언제나맑은뒤흐림,
12,0GF5vHEq9LY,3,이누야샤,
13,xwmU9d53nyA,0,개구리중사케로로,케로로
14,inny3pZeFxo,15,방가방가햄토리,햄토리
15,2kzu0LQQIV4,0,올림포스가디언,
16,MU-gHVOjaxc,0,나루토,
17,K9I0N59FUe4,0,괴짜가족,
18,k1_5Nl5oIp4,5,마루코는아홉살,마루코
19,AhhNh9gg5Ls,6,아따맘마,
20,Eb-JAjWSxkI,0,짱구는못말려,짱구
21,kfKI6rbkQZo,0,도라에몽,
22,vLanxuRgnoI,35,드래곤볼Z ,드래곤볼z 드래곤볼
23,DCuOiGpsEcw,0,명탐정코난,코난
24,xG6NtaLP2vQ,2,세일러문,
25,OtYV-AywbRM,0,슬램덩크,
26,G_bUUDljpCE,0,꼬마마법사레미,레미
27,kN1NngSLQF0,0,큐빅스,
28,Br2u5eP3Waw,0,배틀짱,우에키의법칙
29,s1bKM3t09p0,0,꿈빛파티시엘,
30,eWG43KbiAkk,0,따끈따끈베이커리,따따베
31,fCr5pGpkk4k,20,황금로봇골드런,골드런
32,n13Hxjxwq18,14,슈가슈가룬,
33,v9KxKuCy0Bk,1,다다다,
34,xyeWOA6kXPs,15,고스트바둑왕,
35,MJaWB8xQDkE,0,블리치,
36,lmb874e3veU,5,지구용사선가드,선가드
37,5TIrtJloLGc,0,로봇수사대케이캅스,케이캅스 K캅스 k캅스
38,UNHBkHXuiJ8,9,장금이의꿈,장금이
39,tAmWiWIImAU,100 ,마당을나온암탉,
40,xvxYEthSt2U,1,너에게닿기를,
41,TUPHbkyn1fM,0,탑블레이드,
42,7YZLtR4VWtg,0,탱구와울라숑,
43,FPw_RTTMBYM,12,포트리스,
44,uVVLiBldRm4,0,구슬대전배틀비드맨,배틀비드맨
45,ybpV8h-Rpyk,0,접지전사,
46,6WKm1Tscpz4,0,용의전설레전더,레전더
47,nFSglXzz5gs,0,날아라호빵맨,호빵맨
48,SfaiPc9yKwI,0,하얀마음백구,백구
49,hfkt6oaBZmM,0,닥터슬럼프,
