id,src,startTime,answer,answerKeyword
1,jeqdYqsrsA0,122,좋은날,
2,sF9sv9lT83A,95,소주한잔,
3,S_0me7vYyeU,15,밤하늘의별을,
4,d2ytH5mymWY,51,취기를빌려,
5,JR-wv5fOJEY,24,잠이오질않네요,
6,TgOu00Mf3kI,62,에잇,
7,D1PvIWdJ8xo,46,블루밍,
8,H23rF-rlxD4,75,오래된노래,
9,xZydXso9IZs,46,흔들리는꽂들속에서네샴푸향이느껴진거야,
10,mZz9uYdj_v4,84,"어떻게이별까지사랑하겠어,널사랑하는거지",어떻게이별까지사랑하겠어널사랑하는거지
11,P94SfHo2Gts,55,모든날모든순간,
12,lOrU0MH0bMk,70,메테오,
13,3gaLOtoSs40,42,늦은밤너의집앞골목길에서,
14,SvWidiKtj6U,35,돌핀,
15,g8oRKbYrZ6Q,80,아로하,
16,BF16SGxsZgg,10,내손을잡아,
17,dmSUBdk4SY4,47,오늘도빛나는너에게,
18,U7mPqycQ0tQ,40,지,GEE gee
19,6SwiSpudKWI,68,소원을말해봐,
20,rlmo7_ZV_cQ,61,오,
21,r3yxxe66LXs,19,키싱유,
22,3vVHy0XoIN4,69,텔미,
23,lmun5PO54VE,55,소핫,
24,Lu3TvqaB8YQ,35,거짓말이라도해서널보고싶어,
25,MLk5T56-iY0,71,사랑안해,
26,sBwccnWlO_w,40,총맞은것처럼,
27,ap4qp3F2OXs,49,사랑앓이,
28,R0Far5Y9ZCs,78,바래,
29,mZJnZD1UbA8,79,지독하게,
30,nM0xDI5R50E,46,삐삐,
31,BzYnNdJhZQw,104,밤편지,
32,Q0xvVgKJxfs,113,분홍신,
33,L-2M_-QLs8k,57,내가저지른사랑,
34,7e54Bvrf3Vs,104,또다시사랑,
35,OHf6WCHMIqA,105,하루도그대를사랑하지않은적이없었다,
36,FLPLgJqeZJw,50,문을여시오,
37,HrWTc4lG8lI,60,향수뿌리지마,
38,hHd_8iZFvK8,67,장난아냐,
39,roughtzsCDI,62,링딩동,
40,VTASffPQGhY,57,누난너무예뻐,
41,N8VRaGe3Cqs,75,셜록,
42,ePpPVE-GGJw,72,티티,
43,i0p1bmr0EmE,44,왓이즈러브,왓이즈럽
44,wmwD3tLH3hg,63,잘자요굿나잇,잘자요굿나이트
45,oqxHy4G9FMI,47,이게무슨일이야,
46,pNfTK39k55U,54,달라달라,
47,1kcwvcbO8MI,56,얼굴찌푸리지말아요,
48,IHNzOHi8sJs,51,뚜두뚜두,
49,J-wFp43XOrA,36,아주나이스,
50,xgvckGs6xhU,52,출발,
51,oJIWY9W5WAM,60,붉은노을,
52,TlgXOM2N5fo,53,막걸리나,
53,7G3NchTIW5w,70,와이파이,
54,G5klng66cjE,51,여름이야기,
55,0pWz9xztrHE,60,한여름밤의꿀,
56,WyiIGEHQP8o,61,빨간맛,
57,2tDmeZeNF1Y,0,밥만잘먹더라,
58,eDEFolvLn0A,63,피에스타,
59,6eEZ7DJMzuk,58,비올레타,
60,0Viu3LRS-HI,53,소나기,
61,iDjQSdN_ig8,55,살짝설렜어,
62,X90M32q-ifw,75,샴푸,
63,9KhlJHnU2hs,18,디바,
64,4Pax5vCQbMA,190,세사람,
65,FWTfKpZ0VWU,50,팔이팔이,8282
66,L9ro1KjkJMg,0,헤븐,
67,8mT4RoI2b4g,70,서쪽하늘,
68,8WqEp8nbgPg,44,저녁하늘,
69,MCEcWcIww5k,59,보여줄게,
70,y2OFPvYxZuY,54,데칼코마니,
71,pHtxTSiPh5I,50,너나해,
72,oWiR9Ojn7JY,46,매일듣는노래,
73,t1H-Kw-7PGE,60,세사랑,
74,xZdTzNLmCN8,50,유,
75,RUd6LLIr-Wg,45,거리에서,
76,cIyAqMRVecc,0,노래방에서,
77,tXV7dfvSefo,26,벚꽃엔딩,
78,uU02KEA7fZo,40,아이빌리브,
79,M15SI00umn4,50,네버엔딩스토리,
80,LwH982yw5d4,45,신용재,
81,fmiEBlS5dCk,46,이소설의끝을다시써보려해,
82,tMhizg-1OzA,116,시든꽃에물을주듯,
83,x7l0kLFN6Oc,65,스토커,
84,Wdi83bDYvHI,0,아메리카노,
85,rVecTX18TG0,52,안아줘요,
86,1ESGNB9ennE,11,폰서트,
87,BYyVDi8BpZw,47,고백,
88,ByQsSmckjQg,70,기다리다,
89,g6uvXiLNrxM,50,포장마차,
90,g6uvXiLNrxM,81,어디에도,
91,YBzJ0jmHv-4,84,너를만나,
92,s2eDv9iK__s,46,고무신거꾸로신지마,
93,kzStNbID3ro,64,나를사랑했던사람아,
94,bCC16u613vY,138,헬로,
95,WYy2fROj7uU,177,그대라는사치,
96,0K8BXCi4Lso,50,곡예사,
97,OxgiiyLp5pk,196,야생화,
98,AoVt7Qe9t1s,42,가시,
99,wYOKtTIYcIU,62,형,
100,vXSy-laggts,68,이별,
101,vIPug7A8Fds,53,내마음이움찔했던순간,
102,VgbIDfPJIFs,74,조금취했어,
103,UidhQTm1ulw,75,안녕,
104,W4SXOQ7xFoo,85,안아줘,
105,tLfPWyfHfWg,12,거꾸로강을거슬러오르는저힘찬연어들처럼,
